Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-02-27,Under the Skin,2013,https://boxd.it/eRczz,3.5,,,2015-01-03
2017-02-27,A Most Violent Year,2014,https://boxd.it/eRczp,4,,cinema,2015-01-14
2017-02-27,The Purge: Anarchy,2014,https://boxd.it/eRczf,2.5,,,2015-01-17
2017-02-27,The Tale of the Princess Kaguya,2013,https://boxd.it/eRcz5,4,,animation,2015-01-18
2017-02-27,Whiplash,2014,https://boxd.it/eRcyV,3.5,,cinema,2015-01-19
2017-02-27,Gone Girl,2014,https://boxd.it/eRcyL,3.5,,,2015-01-24
2017-02-27,Wild,2014,https://boxd.it/eRcyB,3.5,,cinema,2015-01-30
2017-02-27,The Imitation Game,2014,https://boxd.it/eRcyh,3,,cinema,2015-01-31
2017-02-27,Jodorowsky's Dune,2013,https://boxd.it/eRcy7,4.5,,,2015-02-01
2017-02-27,Nightcrawler,2014,https://boxd.it/eRcxX,4,,,2015-02-07
2017-02-27,Noah,2014,https://boxd.it/eRcxN,2.5,,,2015-02-15
2017-02-27,American Sniper,2014,https://boxd.it/eRcxD,3.5,,cinema,2015-02-20
2017-02-27,Ida,2013,https://boxd.it/eRcxt,4.5,,,2015-02-21
2017-02-27,John Wick,2014,https://boxd.it/eRcxj,2.5,,,2015-02-22
2017-02-27,Whiplash,2014,https://boxd.it/eRcwZ,4,Yes,cinema,2015-02-28
2017-02-27,Leviathan,2014,https://boxd.it/eRcx9,5,,,2015-02-28
2017-02-27,Upstream Color,2013,https://boxd.it/eRcwP,3,,,2015-03-07
2017-02-27,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/eRcwF,4,,cinema,2015-03-13
2017-02-27,Citizenfour,2014,https://boxd.it/eRcwv,4.5,,female-director,2015-04-06
2017-02-27,The Help,2011,https://boxd.it/eRcwl,4,,,2015-04-12
2017-02-27,Snowpiercer,2013,https://boxd.it/eRcwb,2,,,2015-04-13
2017-02-27,Big Hero 6,2014,https://boxd.it/eRcw1,3,,,2015-04-18
2017-02-27,Blue Ruin,2013,https://boxd.it/eRcvR,4,,,2015-04-19
2017-02-27,Memento,2000,https://boxd.it/eRcvH,4.5,,,2015-04-20
2017-02-27,Big Eyes,2014,https://boxd.it/eRcvx,3,,,2015-04-22
2017-02-27,Source Code,2011,https://boxd.it/eRcvn,2.5,,,2015-04-24
2017-02-27,The Avengers,2012,https://boxd.it/eRcvd,4.5,Yes,,2015-04-25
2017-02-27,Wild Tales,2014,https://boxd.it/eRcv3,4,,,2015-05-01
2017-02-27,"Two Days, One Night",2014,https://boxd.it/eRcuT,3.5,,,2015-05-09
2017-02-27,Paradise Now,2005,https://boxd.it/eRcuJ,4,,,2015-05-10
2017-02-27,Mad Max: Fury Road,2015,https://boxd.it/eRcu5,4.5,,cinema,2015-05-14
2017-02-27,Mad Max 2,1981,https://boxd.it/eRcup,4,,,2015-05-14
2017-02-27,Mad Max,1979,https://boxd.it/eRcuz,3,,,2015-05-14
2017-02-27,Moscow Does Not Believe in Tears,1980,https://boxd.it/eRctV,1.5,,,2015-05-17
2017-02-27,Mad Max: Fury Road,2015,https://boxd.it/eRctL,4.5,Yes,cinema,2015-06-04
2017-02-27,Ex Machina,2015,https://boxd.it/eRctB,3.5,,,2015-06-07
2017-02-27,About Time,2013,https://boxd.it/eRctr,3.5,,,2015-06-09
2017-02-27,Before Sunrise,1995,https://boxd.it/eRct7,3.5,,,2015-06-10
2017-02-27,A Most Wanted Man,2014,https://boxd.it/eRcth,3,,,2015-06-10
2017-02-27,The Visitor,2007,https://boxd.it/eRcsX,3,,,2015-06-19
2017-02-27,Edge of Tomorrow,2014,https://boxd.it/eRcsN,3.5,,"travel, hotel",2015-06-27
2017-02-27,Jurassic World,2015,https://boxd.it/eRcsD,3,,"cinema, travel",2015-06-29
2017-02-27,Divergent,2014,https://boxd.it/eRcst,1.5,,,2015-07-02
2017-02-27,Fort Bliss,2014,https://boxd.it/eRcsj,4,,female-director,2015-07-04
2017-02-27,Oblivion,2013,https://boxd.it/eRcs9,1.5,,,2015-07-08
2017-02-27,Mommy,2014,https://boxd.it/eRcrZ,5,,cried,2015-07-09
