TMDB id, LB link, Name, Year
376867,https://boxd.it/d6bE,Moonlight,2016
339419,https://boxd.it/bhHC,Loving,2016
324786,https://boxd.it/azew,Hacksaw Ridge,2016
277834,https://boxd.it/8tfY,Moana,2016
354275,https://boxd.it/bWs4,Right Now, Wrong Then,2015
284052,https://boxd.it/8MH8,Doctor Strange,2016
392820,https://boxd.it/dJqS,Gimme Danger,2016
376866,https://boxd.it/d6bu,Jackie,2016
198,https://boxd.it/2aTy,To Be or Not to Be,1942
68730,https://boxd.it/2cAo,Silence,2016
51999,https://boxd.it/A3O,Perfect Sense,2011
374475,https://boxd.it/d0xu,Toni Erdmann,2016
245703,https://boxd.it/7dmi,Midnight Special,2016
293670,https://boxd.it/9fLy,The Wailing,2016
334541,https://boxd.it/b2L0,Manchester by the Sea,2016
363676,https://boxd.it/cD8Q,Sully,2016
396535,https://boxd.it/dSQU,Train to Busan,2016
244786,https://boxd.it/7bQA,Whiplash,2014
313369,https://boxd.it/a5fa,La La Land,2016
258230,https://boxd.it/7DjE,A Monster Calls,2016
339408,https://boxd.it/bhFQ,The Birth of a Nation,2016
358807,https://boxd.it/cacO,The Fits,2015
340666,https://boxd.it/bkFu,Nocturnal Animals,2016
370755,https://boxd.it/cRk2,Paterson,2016
330459,https://boxd.it/aPvy,Rogue One: A Star Wars Story,2016
279690,https://boxd.it/8yvW,He Never Died,2015
8741,https://boxd.it/1ZTM,The Thin Red Line,1998
801,https://boxd.it/29Aq,Good Morning, Vietnam,1987
181886,https://boxd.it/5xtO,Enemy,2013
329865,https://boxd.it/aNGk,Arrival,2016
206647,https://boxd.it/6bXY,Spectre,2015
377264,https://boxd.it/d6Yw,Morgan,2016
297761,https://boxd.it/9row,Suicide Squad,2016
374473,https://boxd.it/d0xa,I, Daniel Blake,2016
9323,https://boxd.it/1YYc,Ghost in the Shell,1995
152584,https://boxd.it/4O40,Blue Is the Warmest Color,2013
315465,https://boxd.it/aaRe,The Boy and the Beast,2015
360030,https://boxd.it/cfuo,Lo and Behold: Reveries of the Connected World,2016
259316,https://boxd.it/7FPC,Fantastic Beasts and Where to Find Them,2016
14836,https://boxd.it/1NhQ,Coraline,2009
313297,https://boxd.it/a4wE,Kubo and the Two Strings,2016
334533,https://boxd.it/b2K2,Captain Fantastic,2016
290098,https://boxd.it/948A,The Handmaiden,2016
347031,https://boxd.it/bDG2,Swiss Army Man,2016
188927,https://boxd.it/5Ik4,Star Trek Beyond,2016
54138,https://boxd.it/uYE,Star Trek Into Darkness,2013
548,https://boxd.it/2a9K,Rashomon,1950
353326,https://boxd.it/bTpm,The Man Who Knew Infinity,2015
113833,https://boxd.it/3NR4,The Normal Heart,2014
246655,https://boxd.it/7eJi,X-Men: Apocalypse,2016
377273,https://boxd.it/d6YQ,Aquarius,2016
340275,https://boxd.it/bjIM,Chi-Raq,2015
338766,https://boxd.it/bfGM,Hell or High Water,2016
271110,https://boxd.it/89Ja,Captain America: Civil War,2016
294016,https://boxd.it/9gG0,Trumbo,2015
891,https://boxd.it/29lU,All the President's Men,1976
127380,https://boxd.it/4aAA,Finding Dory,2016
9693,https://boxd.it/1Y2i,Children of Men,2006
12573,https://boxd.it/1RFW,A Serious Man,2009
269149,https://boxd.it/84xS,Zootopia,2016
250700,https://boxd.it/7low,The Battered Bastards of Baseball,2014
333371,https://boxd.it/aZiu,10 Cloverfield Lane,2016
321741,https://boxd.it/aqIs,Concussion,2015
293660,https://boxd.it/9fOC,Deadpool,2016
1562,https://boxd.it/28Bi,28 Weeks Later,2007
254320,https://boxd.it/7tnw,The Lobster,2015
