Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2017-02-27,Moonlight,2016,https://boxd.it/eRc8j,4.5,Yes,"Reassisti o filme e minha nossa, como é magnífico. Tinha certeza de que ia gostar muito mais do que da primeira vez, o filme vinha crescendo dentro de mim há semanas. Ah, Chiron...

Uma coisa que fiquei pensando é em como tanto em Manchester como em Moonlight ter uma ideia melhor do que estava acontecendo me levou a gostar mais do filme. Na primeira vez, em ambos os filmes, eu demorei a perceber qual era o caminho que se seguia. Uma vez com isso claro as coisas se conectam melhor, os detalhes florescem... é bonito de se ver. É sinal da grandiosidade daquilo que está diante de nós. Amém.",cinema,2017-02-26
2017-02-27,Hacksaw Ridge,2016,https://boxd.it/eRc8D,3.5,,"I ended up liking this one more than I expected. I dislike this kind of soundtrack, but the rest of the movie works well. The feat performed by Desmond, its magnitude, is shown in a way that you really, really accept it as a miracle. That is the greatest achievement of the film.",,2017-02-21
2017-02-27,Moana,2016,https://boxd.it/eRc8N,2.5,,"What a farce. Lin-Manuel saves the day, but since his music is not playing constantly...",animation,2017-02-20
2017-02-27,"Right Now, Wrong Then",2015,https://boxd.it/eRc8X,4,,"É tão maravilhoso quando um título encapsula tão bem uma obra ao mesmo tempo em que não é meramente descritivo. ""Right Now, Wrong Then"". Sim.",,2017-02-19
2017-02-27,Doctor Strange,2016,https://boxd.it/eRc97,3,,ONE SHOULD KNOW WHEN TO STOP,,2017-02-19
2017-02-27,Jackie,2016,https://boxd.it/eRc9r,3,,"Natalie Portman, um deleite. Ela está muito, muito, muito bem. A cena em que ela limpa o sangue do rosto, enquanto chora copiosamente... minha nossa.

O filme em si não é lá grandes coisas. Parece pão demais pra manteiga de menos, parafraseando Bilbo. Mas tem seus momentos. E em todos eles Natalie está no centro, como não podia deixar de ser.",cinema,2017-02-17
2017-02-27,To Be or Not to Be,1942,https://boxd.it/eRc9B,4.5,,"""It is built like a mathematical proof.""",built-like-a-mathematical-proof,2017-02-16
2017-02-27,Midnight Special,2016,https://boxd.it/eRcaf,2.5,,"O filme começa muito bem, sendo excitante tanto visualmente como em termos de antecipação do que está por vir. É cheio de bons atores, a narrativa é grandiosa, seems like a great ride ahead.

E por um tempo até que é, mas a falta de substância faz com que tudo vá devagar mas inexoravelmente desmoronando. O filme tem premissa e execução ambiciosas, mas acaba tombando sob o seu próprio peso. É pena.",,2017-02-03
2017-02-27,Moonlight,2016,https://boxd.it/eRcap,4,,"It's a quiet movie. I was surprised when it ended, simply and beautifully as it did, mostly because I could not believe that almost two hours had passed. The chapters, the slow unfolding of Little/Chiron/Black before us. Somehow it all adds up to a continuum we never get detached from.

I still catch myself thinking back on some scenes. Nothing seems loud. Little/Chiron/Black is there, introspective, reticent. We can feel his pain. I remember.",cinema,2017-02-03
2017-02-27,The Wailing,2016,https://boxd.it/eRcaz,4.5,,"""A bone-chilling, thunderous decent into hell"" indeed.",,2017-02-01
